ArticleTitle	Question	Answer
James_Monroe	What is Monroe's daughter's name?	Maria Hester Monroe Gouverneur
James_Monroe	What does "Era of Good Feelings" refers to?	Reduced tension
James_Monroe	Did Monroe' wedding happen at the Trinity Church in New York?	Yes
James_Monroe	What is Monroe Doctrine?	A doctrine declaring U.S. opposition to European interference in the Americas.
James_Monroe	Was James Monroe President of the United States?	yes
James_Monroe	Did James Monroe attend the College of William and Mary?	yes
James_Monroe	Did James Monroe fight in the Continental Army?	yes
James_Monroe	Where was James Monroe born?	Westmoreland County, Virginia
James_Monroe	Where was James Monroe shot?	at the Battle of Trenton, in his left shoulder
James_Monroe	Who did James Monroe marry?	Elizabeth Kortright
James_Monroe	What did James Monroe do before being elected governor?	He practiced law in Virginia.
James_Monroe	In which years were John Monroe elected as President?	1817-1825
James_Monroe	Who was John Monroe standing behind in the painting of  Washington Crossing the Delaware?	George Washington
James_Monroe	When was James Monroe appointed to Secretary of War?	1814
James_Monroe	When did James Monroe die?	July 4, 1831
James_Monroe	When did James Monroe graduate from William and Mary?	1776
James_Monroe	When was James Monroe elected president?	Monroe was elected president in the election of 1816, and re-elected in 1820.
James_Monroe	Which property did James Monroe sell in 1817?	Monroe Hill on the grounds of the University of Virginia.
James_Monroe	When did James Monroe introduce the Monroe Doctrine?	December 2, 1823
James_Monroe	Who did James Monroe live with in New York City?	His daughter Maria Hester Monroe Gouverneur
James_Monroe	What did James Monroe's letters not contain?	No letters survive in which he might have discussed his religious beliefs.
James_Monroe	What was the result of the rejection of the Jay Treaty?	As a result, the two nations moved closer toward the War of 1812.
James_Monroe	Who is depicted holding the flag in the famous painting of Washington Crossing the Delaware?	Monroe
James_Monroe	What dwindled and eventually died out, starting with the Hartford Convention?	The Federalist Party
James_Monroe	Is it true that he practiced law in fredericksburg?	yes
James_Monroe	What did James Monroe make in 1817?	two long tours
James_Monroe	Was Monroe anticlerical?	no
James_Monroe	Was Monroe appointed Minister to France from 1794 to 1796?	yes
James_Monroe	What expired on March?	Monroe's presidency
James_Monroe	Had Monroe racked up many debts during his years of public life ?	yes
James_Monroe	Who dismantled partisan and sectional coalitions ?	many congressmen
James_Monroe	What happened in 1811?	Monroe returned to the Virginia House of Delegates and was elected to another term as governor of Virginia
James_Monroe	What happened in the election of 1816?	Monroe was elected president
James_Watt	Who died in childbirth in 1772?	Margaret Miller
James_Watt	Who died in 1832?	Margaret Miller.
James_Watt	Is watt commemorated by statuary in George Square, Glasgow and Princes Street, Edinburgh?	Yes.
James_Watt	Was watt a gentleman, greatly respected by other prominent men of the Industrial Revolution?	Yes.
James_Watt	Was watt a fellow of the Royal Society of Edinburgh and the Royal Society of London?	Yes.
James_Watt	Four years after opening his shop , Watt began what?	Watt began to experiment with steam after his friend, Professor John Robison, called his attention to it.
James_Watt	Was Watt ranked 22nd in Michael H. Hart 's list of the most influential figures in history ?	Yes.
John_Adams	Did John Adams represent the Continental Congress in Europe?	Yes.
John_Adams	Was Adams raised Congregationalist?	Yes.
John_Adams	Was Adams an opponent of the Stamp Act?	Yes.
kangaroo	Is a kangaroo a reptile?	no
kangaroo	Is a kangaroo on the Australian coat of arms?	yes
kangaroo	Was James Cook the first to record the name "Kangooroo?"	yes
kangaroo	What is a collective noun for kangaroos?	mob, troop, or court
kangaroo	Where do joeys complete postnatal development?	marsupium
kangaroo	What do kangaroos use for "crawl-walking?"	its hind feet
kangaroo	Why do kangaroos have a wide bite?	The two sides of the lower jaw are not joined together and the lower incisors are farther apart.
kangaroo	What is responsible for converting the hydrogen byproduct of fermentation into acetate?	bacteria
kangaroo	Are wild kangaroos shot for meat?	yes
kangaroo	Have kangaroos fared well since European S08_settlement?	yes
kangaroo	Do kangaroos have many natural predators?	no
kangaroo	What is the average life expectancy of a kangaroo?	4.6 years
kangaroo	When did the first official report of kangaroo blindness take place?	1994
kangaroo	What are vehicles that frequent isolated roads often fitted with?	roo bars
kangaroo	Do kangaroos eat plants?	yes
kangaroo	What are some extinct predators of the kangaroo?	Thylacine, Marsupial Lion, Maagalania, and Wonambi
kangaroo	Is a Kangaroo a Marsupial?	Yes
kangaroo	Is the kangaroo an herbivour?	Yes
kangaroo	Are Kangaroos Shy?	Yes
kangaroo	What method of locomotion do Kangaroos Use?	hopping
kangaroo	What is a collective noun for a kangaroo?	a mob, troop, or court
kangaroo	What is a roo?	a kangaroo
kangaroo	What is used to protect a vehicale from a Kangaroo?	roo bars
kangaroo	What method is used by Kangaroos to travel?	hopping
kangaroo	Who asked a nearby local what the creatures were called?	Captain James Cook and naturalist Sir Joseph Banks
kangaroo	What are four species that are commonly referred to as kangaroos?	The Red Kangaroo, The Eastern Grey Kangaroo, The Western Grey Kangaroo, and The Antilopine Kangaroo
kangaroo	Are kangaroos and wallabies adept swimmers?	yes
kangaroo	Are kangaroos farmed to any extent?	No.
kangaroo	Who also discovered that less than three percent of kangaroos exposed to the virus developed blindness ?	Veterinarians
kangaroo	Different species of kangaroos eat what?	different diets
kangaroo	Have Kangaroos dazzled by headlights or startled by engine noise been known to leap in front of cars ?	yes
kangaroo	Is a collision with a vehicle capable of killing a kangaroo ?	yes
kangaroo	Was the game of Marn grook played using a ball made from kangaroo by the Kurnai people ?	yes
kangaroo	Have kangaroos large , powerful hind legs , large feet adapted for leaping , a long muscular tail for balance , and a small head ?	yes
kangaroo	Is a kangaroo a marsupial from the family macropodidae -LRB- macropods , meaning (`` ` large foot ('' ' -RRB-?	yes
kangaroo	What kinds of changes have larger kangaroos adapted much better to?	Changes wrought to the Australian landscape by humans.
kangaroo	Have larger kangaroos adapted much better to changes?	yes
leopard	Is the leopard smaller than the other members of Panthera?	yes
leopard	Is a leopard larger and less lanky than a cheetah?	yes
leopard	Are large pythons potential prey for leopards?	yes
leopard	What may a leopard be mistaken for?	A cheetah or a jaguar
leopard	What is a hybrid animal resulting from a union between a leopard and a puma?	a pumapard
leopard	Where do leopards often hide their kills?	in dense vegetation
leopard	How did early naturalists distinguish between leopards and panthers?	by the length of their tails
leopard	What are dark leopards known as colloquially?	Black Panthers
leopard	What shape are a leopard's black roS08_settes in East Africa?	circular
leopard	Is the leopard an Old World mammal?	yes
leopard	Is the leopard of the Felidae family?	yes
leopard	Is the leopard one of the four 'big cats'?	yes
leopard	Where is the leopard distributed?	southern Eurasia and Africa
leopard	How long is a leopard's tail?	60 to 110cm
leopard	How much does a leopard weigh?	Males are considerably larger than females and weigh 37 to 90 kg compared to 28 to 60 kg for females.
leopard	Does a male leopard weigh more than a female leopard?	yes
leopard	What is the difference between leopards and cheetahs?	The leopard has roS08_settes rather than cheetah's simple spots and the leopard is larger and less lanky than the cheetah.
leopard	How does the distribution size of the leopard compare to the distribution of other wild cats?	As of 1996, the leopard had the largest distribution of any wild cat, although populations before and since have shown a declining trend and are fragmented outside of subsaharan Africa.
leopard	What resembles that of the similarly-sized cougar in the Americas?	The leopard's ecological role
leopard	What was one of the many species described in Linnaeus's 18th-century work, Systema Naturae?	Felis pardus
leopard	What sort of cats are solitary?	Leopards
leopard	Are leopards circular?	No
leopard	Is the leopard solitary?	Yes
leopard	What centred in Sierra?	The leopard men
leopard	Felis pardus was what?	One of the many species described in Linnaeus's 18th-century work, Systema Naturae
leopard	Has the New Zealand Rugby League featured the Otahuhu Leopards and then the Tamaki Leopards ?	Yes
leopard	Were the Leopard men a West African secret society who practised cannibalism ?	Yes
leopard	Was the leopard tank a German designed tank which entered service in 1965 ?	Yes
leopard	Is the black color heritable and caused by only one recessive gene locus ?	Yes
leopard	Is the leopard -LRB- panthera pardus -RRB- an old world mammal of the felidae family and the smallest of the four (`` ` big cats ('' ' of the genus panthera , along with the tiger , lion , and jaguar?	Yes
leopard	Can a panther be any of several species of large felid?	Yes
leopard	Is the leopard an agile and graceful predator?	Yes
otter	Do sea otters have long muscular tails?	no
otter	Can otters survive in cold water?	yes
otter	Does the giant otter inhabit South Africa?	no
otter	How many species of otter are there?	13
otter	What do river otters eat?	a variety of fish and shellfish, as well as small land mammals and birds
otter	How much do sea otters weigh?	30 kg (about 65 pounds)
otter	How do sea otters insulate themselves?	a layer of air trapped in their fur(!)
otter	Why are sea otters nearly extinct?	They've been hunted for their fur
otter	What is one of the challenges of re-establishing a population of Eurasian otters in the UK?	roadkill deaths
otter	Is otter a kind of mammal?	yes
otter	How many species and genera does otter have?	13 species and 7 genera
otter	Do otters live in water?	yes
otter	Where do sea otters live?	Sea otters (Enhydra lutris) live along the Pacific coast of North America.
otter	Where does the word "otter" derive from?	The word "otter" derives from the Old English word otr, otor or oter.
otter	Does otter give birth or lay egg?	give birth
otter	What drives sea otter almost to extinction?	Humans hunted them almost to extinction.
otter	Why otters are considered as totem animals?	The time of year associated with this is also associated with the Aquarius sign of the Zodiac, through which the sun passes January 20-February 19.
otter	Do sea otters live along the Pacific coast?	Yes
otter	Are otters totem animals?	Yes
otter	Are otters herbivores?	No
otter	What is the primary item in an otter's diet?	Fish.
otter	What is an otter's den called?	Holt
otter	Why is the giant otter becoming increasingly rare?	Poaching, habitat loss, and toxins in gold mining.
otter	How do otters keep themselves warm without blubber?	A layer of air trapped in their fur.
otter	How are otters playful animals?	The slide down snowy slopes, apparently for sheer enjoyment.
otter	What animals are related to otters?	weasels, polecats, and badgers
otter	What traps a layer of air, and keeps them dry and warm under water?	Long guard hair
otter	The collective noun romp is sometimes used for a group of what?	Otters
otter	Is it true that otters eat a variety of fish?	yes
otter	Are otters playful animals?	yes
otter	Are otters very active?	yes
otter	Are male otters dog-otters?	yes
otter	An otter 's den is what?	A holt
otter	Sea otters eat what?	Shellfish and other invertebrates
otter	Is the myth of Otter 's Ransom the starting point of the Volsunga saga ?	yes
otter	Are Male otters dog-otters , females are bitches and babies are cubs or pups ?	yes
otter	Is an otter 's den called a holt ?	yes
otter	Have most otters fish as the primary item in their diet , supplemented by frogs , crayfish and crabs ?	yes
penguin	Do penguins feed on krill?	yes
penguin	What is the largest living species of penguin?	Emperor Penguin
penguin	Do penguins live almost exclusively in the Southern Hemisphere?	yes
penguin	What is "tobogganing"?	when penguins slide on their bellies across the snow
penguin	Why are penguins countershaded?	for camouflage
penguin	Are penguins afraid of humans?	no
penguin	How much time to penguins spend on land?	half of their life
penguin	How many species of penguins are there?	between 17 and 20 living species
penguin	How are Isabelline penguins different from most penguins?	they have brown rather than black plumage
penguin	Are penguins birds?	yes
penguin	Do penguins have a better than average sense of hearing for birds?	yes
penguin	Are penguins considered "higher waterbirds"?	yes
penguin	What order do penguins belong to?	Sphenisciformes
penguin	How tall were the tallest prehistoric penguins?	1.80 meters
penguin	What makes penguins so agile in the water?	Their wings have become flippers
penguin	Why do penguins "tobaggan"?	It conserves energy while moving quickly
penguin	Who spend half of their life on land and half in the oceans?	Penguins
penguin	What is also the distance that Antarctic tourists are told to keep from penguins?	3 meters
penguin	What have become flippers, useless for flight in the air?	Penguins' wings
penguin	What happens when mothers lose a chick?	They sometimes attempt to "steal" another chick.
penguin	Is it true that each penguin gets a turn in the center?	Yes
penguin	Are all penguins countershaded?	Yes
penguin	Are penguins astonishingly agile?	In the water they are.
penguin	Are penguins at risk?	Yes
penguin	Is it also possible that penguin comes from the Latin pinguis , fat ?	Yes
penguin	Have penguins an average sense of hearing for birds ?	Yes
penguin	Can larger penguins dive deep in case of need ?	Yes
penguin	Is the smallest penguin species the Little Blue Penguin -LRB- also known as the Fairy Penguin -RRB- , which stands around 40 cm tall -LRB- 16 in -RRB- and weighs 1 kg -LRB- 2.2 lb -RRB- ?	Yes
penguin	Is it not even known whether the gigantic palaeeudyptines constitute a monophyletic lineage , or whether gigantism was evolved independently in a much restricted Palaeeudyptinae and the Anthropornithinae ?	It is not even known.
penguin	Is the largest living species the emperor penguin -LRB- aptenodytes forsteri -RRB-?	Yes
penguin	Is the smallest penguin species the little blue penguin -LRB- also known as the fairy penguin -RRB- , which stands around 40 cm tall -LRB- 16 in -RRB- and weighs 1 kg -LRB- 2?	Yes
penguin	What happened in a region not quite 2000 km south of the equator 35 mya?	At least one giant penguin.
polar_bear	What is the last word on the page?	Connecticut
polar_bear	Is polar bear a mammal?	Yes
polar_bear	Is polar bear a carnivore?	Yes
polar_bear	What is largest polar bear on record?	2200 lb
polar_bear	What is polar bear's skin color?	white or cream
polar_bear	How long is polar bear's guard hair?	5-15 cm
polar_bear	What is cause of polar bear's skin diseases?	mites or other parasites
polar_bear	Why polar bear is a special species?	The World Conservation Union listed polar bears as a vulnerable species, one of three sub-categories of threatened status, in May 2006. Their latest estimate is that 7 out of 19 subpopulations are declining or already severely reduced.
polar_bear	What do fossil and DNA evidence tell us?	The polar bear diverged from the brown bear about 200 thousand years ago.
polar_bear	Does a polar bear live in the Arctic?	yes
polar_bear	Is a polar bear white in color?	yes
polar_bear	Is a polar bear at high risk of extinction?	yes
polar_bear	How heavy is a male polar bear?	300-600 kg (660-1320 lb)
polar_bear	How heavy was the largest polar bear on record?	1002 kg (2200 lb)
polar_bear	What does a polar bear's fur provide?	It provides the animal with effective camouflage.
polar_bear	Do female polar bears weight more than the male?	no
polar_bear	How much weight do female polar bears gain during pregnancy?	They gain double their weight.
polar_bear	Can polar bears be seen under infrared photography?	Polar bears are nearly invisible under infrared photography.
polar_bear	What is actually black in color?	A polar bear's skin.
polar_bear	What insulate it against the cold?	Its think blubber and fur.
polar_bear	What includes a lengthy justification of why this species is listed as vulnerable?	Database entry.
polar_bear	What do with greenpeace and the natural resources defense council have in common?	They filed lawsuits in California.
polar_bear	Are studies insufficient evidence for global protection?	It is arguable.
polar_bear	Are polar bears excellent swimmers?	yes
polar_bear	A semi-aquatic marine mammal , the polar bear has what?	It has adapted for life on a combination of land, sea, and ice.
polar_bear	Garbage is what?	Garbage is now recycled or transported to Thompson, Manitoba.
polar_bear	The bears sometimes what?	They sometimes have problems with various skin diseases with dermatitis caused sometimes by mites or other parasites.
polar_bear	Is the Polar Bear the mascot of Bowdoin college ?	yes
polar_bear	Have thumbpolar bears been made both controversial and famous for their distinctive white fur and their habitat ?	yes
polar_bear	Did Mitchell Taylor , the Nunavut Government Manager of Wildlife Research , not write a letter to the U.S. Fish and Wildlife Service arguing that local studies are insufficient evidence for global protection at this time ?	no
polar_bear	Are Cubs born in December without awakening the mother ?	yes
Qatar	Does Qatar rank as the eighth richest country in the world per capita?	No.
Qatar	Do nearly all Qataris profess Islam?	Yes.
Qatar	Can women legally drive in Qatar?	Yes.
Qatar	When did Qatar become an independent state?	September 3, 1971.
Qatar	Where is Qatar's telecommunication system centered?	Doha.
Qatar	Where did a suicide-bombing kill a teacher in 2005?	At the Doha Players Theatre.
Qatar	Does the native pronunciation of Qatar sound like 'cutter'?	Yes.
Qatar	What is the Arabic word for municipalities?	baladiyah.
Qatar	What universities are in Education City?	Carnegie Mellon University, Georgetown University School of Foreign Service, Texas A&M University, Virginia Commonwealth University, and Cornell University's Weill Medical College.
Qatar	What carried with it a tacit recognition of Qatar's status as distinct from Bahrain?	The British Protectorate (per Colonel Lewis Pelly) asking to negotiate with a representative from Qatar after Bahrain's violation of the 1820 Anglo-Bahraini Treaty.
Qatar	Qatar became an independent sovereign state in what year?	On September 3, 1971.
Qatar	What consists of a low, barren plain, covered with sand?	Much of the country.
Qatar	How do qatar and the wider region relate?	Qatar is aiming to become a role model for economic and social transformation in the region. Large scale investment in all social and economic sectors will also lead to the development of a strong financial market.
Qatar	Was Qatar University founded in 1973?	Yes
Qatar	Is Qatar bordered by Saudi Arabia to the south?	Yes
Qatar	What bordered by Saudi?	Qatar
Qatar	Who served as the headquarters and one of the main launching sites of the US invasion of Iraq in 2003 ?	Qatar.
Qatar	Has Qatar a modern Telecommunication system centered in Doha ?	Yes
Qatar	Was Qatar University founded in 1973 ?	Yes
Qatar	Did the Qataris not choose as their negotiator the respected entrepreneur and long-time resident of Doha , Muhammed bin Thani ?	Yes
Qatar	Will oil and gas probably remain the backbone of Qatar 's economy for some time to come ?	Yes
Qatar	Has it been created with a long term perspective to support the development of Qatar and the wider region , develop local and regional markets , and strengthen the links between the energy based economies and global financial markets ?	Yes
Qatar	What happened in these positions in english?	These allophones cannot occur there.
Qatar	Can these allophones not occur in these positions in english?	yes
Qatar	Is -RRB- , officially the state of qatar -LRB- arabic (: : transliterated as dawlat qatar -RRB- , an arab emirate in southwest asia?	Yes
Romania	Does Romania border Hungary?	Yes.
Romania	Is Romania a secular state?	Yes.
Romania	Is the president elected by popular vote?	Yes.
Romania	How many counties is Romania divided into?	41
Romania	What is the highest mountain in Romania?	Moldoveanu Peak.
Romania	What is the official language of Romania?	Romanian.
Romania	Is the Romanian economy doing well?	Yes.
Romania	Are there many Roma in Romania?	No.
Romania	How many territories joined to form Romania?	2
Romania	Does Romania share a border with Ukraine?	yes
Romania	Did Romania declare neutrality during World War I?	yes
Romania	Does Romania share the same language with Moldova?	yes
Romania	Who was the first gymnast to score a perfect "ten"?	Nadia ComÄƒneci
Romania	What is the largest city in Romania?	Bucharest
Romania	What is the largest ethnic minority in Romania?	Hungarians
Romania	How many countries in Europe are bigger than Romania?	eleven
Romania	Why doesn't Romania have a state religion?	Romania is a secular state
Romania	Why wasn't Romania neutral during World War II?	it received a Soviet ultimatum
Romania	Sibiu, a large city in Transylvania, was chosen as European Capital of Culture in what year?	2007
Romania	What are approximately 42,000 years old and have been nicknamed`` John of Anina''?	the remains (the lower jaw) of the oldest modern human
Romania	Is it true that romania has a population of 21,698,181?	Yes
Romania	What do economy and law have in common?	(not sure how to answer this)
Romania	What did Tourism in Romania attract in 2005?	investments worth 400 million euros
Romania	Is Romania a semi-presidential unitary state?	Yes
Romania	Is Romania a semi-presidential democratic republic where executive functions are shared between the president and the prime minister ?	Yes
Romania	Was Gellu Naum the leader of the surrealist movement in Romania ?	Yes
Romania	Was the Bucharest Metro only opened in 1979 ?	Yes
Romania	Is romania -LRB- , -RRB- a country in southeastern europe?	Yes
Singapore	Do singaporeans enjoy squid?	Yes, they do.
Singapore	Did Singapore's standard of living decrease since independence?	No, the standard living was raised.
Singapore	Did the media contribute 15.6% to Singapore's GDP in 2001?	No, it contributed 1.56% to GDP in 2001.
Singapore	How many people use the bus network daily?	More than 2.78 million people.
Singapore	Where did Orang Laut people live?	Orang Laut people lived around the coast, rivers and smaller islands.
Singapore	What is the MRT?	One of three heavy rail passenger transport lines in Singapore.
Singapore	How is Singapore's climate characterized?	Singapore has a tropical rainforest climate with no distinctive seasons.
Singapore	How much increase in the media's contribution to GDP is the government seeking?	The government seeks to increase its GDP contribution to 3% by 2012.
Singapore	How many days did it take the Imperial Japanese Army to win the Battle of Singapore?	Six days
Singapore	Is Singapore located at the southern tip of the Korean Penisula?	no
Singapore	Is Singapore a city-state?	yes
Singapore	Has Sang Nila Utama visited Singapore?	yes
Singapore	What does "singa" mean?	lion
Singapore	When is the first record of S08_settlement in Singapore?	second century AD
Singapore	Which nation invaded Singapore during World War II?	Japan
Singapore	Why Churchill called the occupation of Singapor by Janpan during WWII "Britain's greatest defeat"?	The British were defeated in six days
Singapore	Was Lee Kuan Yew a successful leader of Singapore?	yes
Singapore	When did Goh Chok Tong succeed Lee as Prime Minister?	In 1990, Goh Chok Tong succeeded Lee as Prime Minister.
Singapore	What is the primary domestic source of water supply?	The primary domestic source of water supply in Singapore is rainfall.
Singapore	What is the national language of Singapore?	The national language of Singapore is Malay.
Singapore	Where is the National Orchid Garden?	Singapore Botanic Gardens.
Singapore	Why are relations with Malaysia and Indonesia important?	Due to obvious geographical reasons, relations with Malaysia and Indonesia are most important.
Singapore	What is the most densely populated independent country in the world?	Monaco
Singapore	Who did Sir Thomas Stamford Raffles work for?	British East India Company
Singapore	When was Lee Kuan Yew prime minister of Singapore?	1959
Singapore	What is the punishment for first-degree murder?	There are laws which allow capital punishment in Singapore for first-degree murder and drug trafficking.
Singapore	What established a trading post on the island in 1819?	British East India Company
Singapore	What used Singapore as a strategic trading post along the spice route?	British
Singapore	What became one of the most important commercial and military centres of the British Empire?	Singapore
Singapore	Who boasted a sizeable community of 100,000 by 1869?	British India office
Singapore	How do reservoirs and water relate?	By 2001, there were 19 raw water reservoirs, 9 treatment works and 14 storage or service reservoirs locally to serve domestic needs.
Singapore	Is it true that singapore has several long - standing disputes with malaysia?	Yes
Singapore	Has Singapore Changi Airport a network of 81 airlines connecting Singapore to 185 cities in 58 countries ?	Yes
Singapore	Has Singapore a network of reservoirs and water catchment areas ?	Yes
Singapore	Has Urbanization eliminated many areas of former primary rainforest , with the only remaining area of primary rainforest being Bukit Timah Nature Reserve ?	Yes
Singapore	Does the economy not depend heavily on exports refining imported goods , especially in manufacturing ?	No
Singapore	Is singapore -LRB- ; (: ; , -RRB- , officially the republic of singapore -LRB- ; (: ; , -RRB- , an island nation located at the southern tip of the malay peninsula?	Yes
Singapore	Is singapore the 17th wealthiest country in the world in terms of gdp per capita?	No